Layer                                                               ms
----------------------------------------------------------------------
__mye123166_myl0_0                                              0.0367
__myl_MoveConc_myl0_1                                           0.0490
node_conv2d_myl0_2                                              0.2119
__myl_TranConcAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl0_3       0.0421
__mye117951+__mye117939+__mye117927_myl0_4                      0.1226
node_MatMul_60_myl0_5                                           0.7006
__myl_MaxrSubExpSumDivMul_myl0_6                                0.8187
node_scaled_dot_product_attention_myl0_7                        0.5426
node_MatMul_68_myl0_8                                           0.0378
__myl_MulAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl0_9            0.0469
node_MatMul_70_myl0_10                                          0.1485
__myl_MulErfAddMulMul_myl0_11                                   0.1094
node_MatMul_79_myl0_12                                          0.1002
__myl_MulAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl0_13           0.0623
__mye118045+__mye118033+__mye118021_myl0_14                     0.1136
node_MatMul_127_myl0_15                                         0.6963
__myl_MaxrSubExpSumDivMul_myl0_16                               0.8274
node_scaled_dot_product_attention_1_myl0_17                     0.5323
node_MatMul_135_myl0_18                                         0.0408
__myl_MulAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl0_19           0.0469
node_MatMul_137_myl0_20                                         0.1494
__myl_MulErfAddMulMul_myl0_21                                   0.1044
node_MatMul_146_myl0_22                                         0.0992
__myl_MulAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl0_23           0.0634
__mye118139+__mye118127+__mye118115_myl0_24                     0.1146
node_MatMul_194_myl0_25                                         0.6972
__myl_MaxrSubExpSumDivMul_myl0_26                               0.8908
node_scaled_dot_product_attention_2_myl0_27                     0.5376
node_MatMul_202_myl0_28                                         0.0366
__myl_MulAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl0_29           0.0469
node_MatMul_204_myl0_30                                         0.1443
__myl_MulErfAddMulMul_myl0_31                                   0.1115
node_MatMul_213_myl0_32                                         0.1070
__myl_MulAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl0_33           0.0676
__mye118233+__mye118221+__mye118209_myl0_34                     0.1368
node_MatMul_261_myl0_35                                         0.7121
__myl_MaxrSubExpSumDivMul_myl0_36                               0.8222
node_scaled_dot_product_attention_3_myl0_37                     0.5293
node_MatMul_269_myl0_38                                         0.0398
__myl_MulAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl0_39           0.0490
node_MatMul_271_myl0_40                                         0.1525
__myl_MulErfAddMulMul_myl0_41                                   0.1043
node_MatMul_280_myl0_42                                         0.1013
