Layer                                                               ms
__myl_MulAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl0_43           0.0604
__mye118327+__mye118315+__mye118303_myl0_44                     0.1064
node_MatMul_328_myl0_45                                         0.6972
__myl_MaxrSubExpSumDivMul_myl0_46                               0.8149
node_scaled_dot_product_attention_4_myl0_47                     0.5262
node_MatMul_336_myl0_48                                         0.0418
__myl_MulAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl0_49           0.0480
node_MatMul_338_myl0_50                                         0.1525
__myl_MulErfAddMulMul_myl0_51                                   0.1052
node_MatMul_347_myl0_52                                         0.1034
__myl_MulAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl0_53           0.0643
__mye118421+__mye118409+__mye118397_myl0_54                     0.1105
node_MatMul_395_myl0_55                                         0.7033
__myl_MaxrSubExpSumDivMul_myl0_56                               0.8797
node_scaled_dot_product_attention_5_myl0_57                     0.5359
node_MatMul_403_myl0_58                                         0.0399
__myl_MulAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl0_59           0.0490
node_MatMul_405_myl0_60                                         0.1659
__myl_MulErfAddMulMul_myl0_61                                   0.1062
node_MatMul_414_myl0_62                                         0.1077
__myl_MulAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl0_63           0.0966
__mye118515+__mye118503+__mye118491_myl0_64                     0.1137
node_MatMul_462_myl0_65                                         0.7052
__myl_MaxrSubExpSumDivMul_myl0_66                               0.8354
node_scaled_dot_product_attention_6_myl0_67                     0.5303
node_MatMul_470_myl0_68                                         0.0377
__myl_MulAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl0_69           0.0490
node_MatMul_472_myl0_70                                         0.1503
__myl_MulErfAddMulMul_myl0_71                                   0.1065
node_MatMul_481_myl0_72                                         0.0981
__myl_MulAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl0_73           0.0633
__mye118609+__mye118597+__mye118585_myl0_74                     0.1176
node_MatMul_529_myl0_75                                         0.6992
__myl_MaxrSubExpSumDivMul_myl0_76                               0.8302
node_scaled_dot_product_attention_7_myl0_77                     0.5334
node_MatMul_537_myl0_78                                         0.0428
__myl_MulAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl0_79           0.0480
node_MatMul_539_myl0_80                                         0.1545
__myl_MulErfAddMulMul_myl0_81                                   0.1074
node_MatMul_548_myl0_82                                         0.1002
__myl_MulAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl0_83           0.0613
__mye118703+__mye118691+__mye118679_myl0_84                     0.1218
node_MatMul_596_myl0_85                                         0.6972
__myl_MaxrSubExpSumDivMul_myl0_86                               0.8191
node_scaled_dot_product_attention_8_myl0_87                     0.5343
node_MatMul_604_myl0_88                                         0.0378
__myl_MulAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl0_89           0.0480
node_MatMul_606_myl0_90                                         0.1473
__myl_MulErfAddMulMul_myl0_91                                   0.1043
node_MatMul_615_myl0_92                                         0.0982
__myl_MulAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl0_93           0.0624
__mye118797+__mye118785+__mye118773_myl0_94                     0.1165
node_MatMul_663_myl0_95                                         0.6982
__myl_MaxrSubExpSumDivMul_myl0_96                               0.8191
node_scaled_dot_product_attention_9_myl0_97                     0.5681
node_MatMul_671_myl0_98                                         0.0398
__myl_MulAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl0_99           0.0511
node_MatMul_673_myl0_100                                        0.1496
__myl_MulErfAddMulMul_myl0_101                                  0.1105
node_MatMul_682_myl0_102                                        0.0990
__myl_MulAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl0_103          0.0695
__mye118891+__mye118879+__mye118867_myl0_104                    0.1207
node_MatMul_730_myl0_105                                        0.7392
__myl_MaxrSubExpSumDivMul_myl0_106                              0.8489
node_scaled_dot_product_attention_10_myl0_107                   0.5332
node_MatMul_738_myl0_108                                        0.0429
__myl_MulAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl0_109          0.0492
node_MatMul_740_myl0_110                                        0.1492
__myl_MulErfAddMulMul_myl0_111                                  0.1066
node_MatMul_749_myl0_112                                        0.1000
__myl_MulAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl0_113          0.0643
__mye118985+__mye118973+__mye118961_myl0_114                    0.1207
node_MatMul_797_myl0_115                                        0.7043
__myl_MaxrSubExpSumDivMul_myl0_116                              0.8529
node_scaled_dot_product_attention_11_myl0_117                   0.5354
node_MatMul_805_myl0_118                                        0.0419
__myl_MulAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl0_119          0.0490
node_MatMul_807_myl0_120                                        0.1483
__myl_MulErfAddMulMul_myl0_121                                  0.1055
node_MatMul_816_myl0_122                                        0.0972
__myl_MulAddMeanSubMulMean_myl0_123                             0.0449
__myl_AddSqrtDivMulMulAddSlic_myl0_124                          0.0055
__mye123168_myl0_125                                            0.0011
----------------------------------------------------------------------
TOTAL                                                          32.8563
