-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
__myl_Corr_0x27254c081a1025ad1cb0414229bcabdd_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      78.520us        11.17%      78.520us      39.260us             2  
cutlass3x_sm100_tensorop_s128x64x16implicit_gemm_fpr...         0.00%       0.000us         0.00%       0.000us       0.000us      75.834us        10.78%      75.834us      12.639us             6  
__myl_Corr_0xcf2218348b7db89433799057d96a84f1_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      44.636us         6.35%      44.636us       8.927us             5  
cutlass3x_sm100_tensorop_s64x64x16implicit_gemm_fpro...         0.00%       0.000us         0.00%       0.000us       0.000us      41.500us         5.90%      41.500us      41.500us             1  
__myl_Corr_0xa9d51b62a9c288b4703488aec562940d_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      39.804us         5.66%      39.804us      19.902us             2  
__myl_Corr_0xe3a532423be9b2e3f86a984b58a3f73d_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      35.581us         5.06%      35.581us       7.116us             5  
__myl_Corr_0x7ce3219b9d96ac15f453d1091a007877_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      34.620us         4.92%      34.620us      17.310us             2  
__myl_Corr_0xe219d1a06db8bbab0b22f1dcfdd2cb42_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      33.757us         4.80%      33.757us      33.757us             1  
sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwc...         0.00%       0.000us         0.00%       0.000us       0.000us      32.317us         4.60%      32.317us      10.772us             3  
cutlass3x_sm100_tensorop_s256x64x16implicit_gemm_fpr...         0.00%       0.000us         0.00%       0.000us       0.000us      31.869us         4.53%      31.869us       7.967us             4  
sm50_xmma_cublas_gemvx_f16f16_f16_f16_tn_n_int32_uni...         0.00%       0.000us         0.00%       0.000us       0.000us      30.205us         4.30%      30.205us      30.205us             1  
sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16...         0.00%       0.000us         0.00%       0.000us       0.000us      29.629us         4.21%      29.629us      29.629us             1  
__myl_Corr_0xc5609482b5bf4b8285743df11f5f8c88_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      24.541us         3.49%      24.541us       8.180us             3  
__myl_Corr_0x699d5a244c8138d1c5aafd6823a30bd6_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      17.630us         2.51%      17.630us       8.815us             2  
__myl_Corr_0xc1f0fb5f6fdf34edf80b66c9cb269b99_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      16.479us         2.34%      16.479us      16.479us             1  
