-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize96x64x...         0.00%       0.000us         0.00%       0.000us       0.000us      16.413us         2.33%      16.413us       8.207us             2  
__myl_Corr_0x22a25fb857e319d88995113273bfd7d2_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      16.318us         2.32%      16.318us       5.439us             3  
__myl_Corr_0xdd7411a7e264f2845cb0ddc6418769ba_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      11.327us         1.61%      11.327us      11.327us             1  
__myl_Corr_0x3b91fb05eb4c66d9aafc978051cf2a38_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      10.911us         1.55%      10.911us      10.911us             1  
__myl_Corr_0x38480dc91740a9e2d65039cb670625ff_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       9.663us         1.37%       9.663us       9.663us             1  
__myl_Corr_0xa0b38d13a179bbd6150b8730e2d1f0ee_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       9.247us         1.31%       9.247us       9.247us             1  
sm50_xmma_pooling_coalescedC_NHWC_kMAX_3_False_execu...         0.00%       0.000us         0.00%       0.000us       0.000us       8.607us         1.22%       8.607us       8.607us             1  
__myl_Corr_0x4df05d0070ede2c075aca2a0d461f99f_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       8.287us         1.18%       8.287us       8.287us             1  
__myl_Corr_0x4284039cd7e33859d95f87f09c8df88d_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         1.14%       8.000us       8.000us             1  
__myl_Corr_0xb65672b97f13cdfd3eb1a1a3df03206e_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       7.775us         1.11%       7.775us       7.775us             1  
__myl_Corr_0x1c19c68d0ee51c79565b3a94565447f8_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       6.975us         0.99%       6.975us       6.975us             1  
__myl_Corr_0xb6a880fe647df3d47336edf731a2d24f_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       6.335us         0.90%       6.335us       6.335us             1  
sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16...         0.00%       0.000us         0.00%       0.000us       0.000us       5.503us         0.78%       5.503us       5.503us             1  
      __myl_MoveConc_0xc1455be378008feffc8e73982aa134dd         0.00%       0.000us         0.00%       0.000us       0.000us       4.736us         0.67%       4.736us       4.736us             1  
sm50_xmma_pooling_fw_4d_FP16FP32NHWC_Average_FastDiv...         0.00%       0.000us         0.00%       0.000us       0.000us       4.032us         0.57%       4.032us       4.032us             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.143us         0.30%       2.143us       2.143us             1  
                                Activity Buffer Request         8.80%      65.528us         8.80%      65.528us      65.528us       0.000us         0.00%       0.000us       0.000us             1  
                                       cudaLaunchKernel        32.24%     239.990us        32.24%     239.990us     239.990us       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaStreamIsCapturing         0.81%       6.047us         0.81%       6.047us       1.209us       0.000us         0.00%       0.000us       0.000us             5  
                               cudaEventRecordWithFlags         1.40%      10.435us         1.40%      10.435us       5.217us       0.000us         0.00%       0.000us       0.000us             2  
                                    cudaStreamWaitEvent         1.29%       9.621us         1.29%       9.621us       4.810us       0.000us         0.00%       0.000us       0.000us             2  
                                     cudaGetDeviceCount         0.15%       1.147us         0.15%       1.147us       0.229us       0.000us         0.00%       0.000us       0.000us             5  
                                       cuLaunchKernelEx        50.95%     379.266us        50.95%     379.266us       6.654us       0.000us         0.00%       0.000us       0.000us            57  
                                  cudaDeviceSynchronize         4.36%      32.425us         4.36%      32.425us      32.425us       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 744.459us
Self CUDA time total: 703.194us
