-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                Activity Buffer Request         6.40%      56.824us         6.40%      56.824us      56.824us       0.000us         0.00%       0.000us       0.000us             1  
                                         cuLaunchKernel        56.53%     501.888us        56.53%     501.888us       7.381us       0.000us         0.00%       0.000us       0.000us            68  
                                    cudaPeekAtLastError         0.12%       1.055us         0.12%       1.055us       0.527us       0.000us         0.00%       0.000us       0.000us             2  
                                    cudaLaunchKernelExC         1.54%      13.676us         1.54%      13.676us      13.676us       0.000us         0.00%       0.000us       0.000us             1  
                                       cuLaunchKernelEx        29.28%     259.921us        29.28%     259.921us       4.904us       0.000us         0.00%       0.000us       0.000us            53  
                                        cudaEventRecord         1.25%      11.129us         1.25%      11.129us      11.129us       0.000us         0.00%       0.000us       0.000us             1  
                                     cudaGetErrorString         0.17%       1.472us         0.17%       1.472us       1.472us       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaDeviceSynchronize         3.82%      33.945us         3.82%      33.945us      33.945us       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 887.854us
Self CUDA time total: 891.961us
